CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.13       1.88       1.88       0.00
depend                 0.14       0.00       0.00       0.00
depend-int             0.00       0.09       0.09       0.00
depend-fp              0.00       0.37       0.37       0.00
branch                 0.80       0.34       0.34       0.00
mem-l1d                0.13       0.06       0.06       0.00
sync-futex             7.58       0.00       0.00       0.00
sync-unscheduled        0.00       0.65       0.65       0.00
imbalance-end          0.00       0.18       0.19   491049512.00
other                  0.07       0.03       0.03    8000.00

total                  9.85       3.61       3.61   491057512.00
