                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49849374 |  136104842 |  136134303 |          0
  Cycles                             |  491057200 |  491057200 |  491057200 |  491057200
  IPC                                |       0.10 |       0.28 |       0.28 |       0.00
  Time (ns)                          |  122764300 |  122764300 |  122764300 |  122764300
  Idle time (ns)                     |   94423012 |   28345281 |   28751679 |  122764300
  Idle time (%)                      |      76.9% |      23.1% |      23.4% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8291860 |    7782748 |    7791062 |          0
  num incorrect                      |     497376 |     205824 |     198456 |          0
  misprediction rate                 |      5.66% |      2.58% |      2.48% |      0.00%
  mpki                               |       9.98 |       1.51 |       1.46 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573579 |   15827079 |   15831370 |          0
    num misses                       |        124 |         25 |         25 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17194745 |   40028710 |   40034949 |          0
    num misses                       |        422 |         76 |         90 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        546 |        101 |        115 |          0
    num misses                       |        298 |         98 |         99 |          0
    miss rate                        |     54.58% |     97.03% |     86.09% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573579 |   15827079 |   15831370 |          0
    num cache misses                 |       2415 |        152 |        152 |          0
    miss rate                        |      0.03% |      0.00% |      0.00% |       inf%
    mpki                             |       0.05 |       0.00 |       0.00 |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17194745 |   40028710 |   40034949 |          0
    num cache misses                 |      10999 |     125175 |     125367 |          0
    miss rate                        |      0.06% |      0.31% |      0.31% |       inf%
    mpki                             |       0.22 |       0.92 |       0.92 |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      13509 |     125329 |     125523 |          0
    num cache misses                 |      10275 |       1580 |       1593 |          0
    miss rate                        |     76.06% |      1.26% |      1.27% |       inf%
    mpki                             |       0.21 |       0.01 |       0.01 |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      10374 |       1582 |       1597 |          0
    num cache misses                 |       8712 |        258 |        392 |          0
    miss rate                        |     83.98% |     16.31% |     24.55% |       inf%
    mpki                             |       0.17 |       0.00 |       0.00 |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9362 |          0 |          0 |          0
  average dram access latency (ns)   |      67.70 |        inf |        inf |        inf
  average dram queueing delay        |      14.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2522 |        209 |        313 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
