CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.57       0.81       0.81       0.00
depend-int             0.06       0.08       0.08       0.00
depend-fp              0.00       0.33       0.33       0.00
depend-branch          0.06       0.00       0.00       0.00
branch                 0.47       0.18       0.18       0.00
mem-l1d                0.11       0.05       0.05       0.00
sync-futex             4.11       0.00       0.00       0.00
sync-unscheduled        0.00       0.39       0.39       0.00
imbalance-end          0.00       0.11       0.12   272446396.17
other                  0.08       0.04       0.04    8000.00

total                  5.47       2.00       2.00   272454396.17
