                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   54852414 |   32634775 |   98466866 |  136134303
  Cycles                             |  271823600 |  271823600 |  271823600 |  271823600
  IPC                                |       0.20 |       0.12 |       0.36 |       0.50
  Time (ns)                          |   67955900 |   67955900 |   67955900 |   67955900
  Idle time (ns)                     |   48184089 |   57467635 |   31061955 |   17526819
  Idle time (%)                      |      70.9% |      84.6% |      45.7% |      25.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    5057771 |    5348630 |    5630454 |    7793428
  num incorrect                      |     269651 |     322239 |     149050 |     196090
  misprediction rate                 |      5.06% |      5.68% |      2.58% |      2.45%
  mpki                               |       4.92 |       9.87 |       1.51 |       1.44
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    6953733 |    4996564 |   11450372 |   15831370
    num misses                       |         30 |        122 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   16882515 |   11381528 |   28959390 |   40034949
    num misses                       |         68 |        636 |         79 |         97
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.02 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |         98 |        758 |        104 |        122
    num misses                       |         98 |        304 |         97 |         98
    miss rate                        |    100.00% |     40.11% |     93.27% |     80.33%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    6953733 |    4996564 |   11450372 |   15831370
    num cache misses                 |        244 |       2396 |        152 |        151
    miss rate                        |      0.00% |      0.05% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.07 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   16882515 |   11381528 |   28959390 |   40034949
    num cache misses                 |      35872 |       9957 |      90390 |     125362
    miss rate                        |      0.21% |      0.09% |      0.31% |      0.31%
    mpki                             |       0.65 |       0.31 |       0.92 |       0.92
  Cache L2                           |            |            |            |           
    num cache accesses               |      36121 |      12465 |      90554 |     125516
    num cache misses                 |       3412 |       9819 |       2463 |       1587
    miss rate                        |      9.45% |     78.77% |      2.72% |      1.26%
    mpki                             |       0.06 |       0.30 |       0.03 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |       3417 |       9934 |       2475 |       1590
    num cache misses                 |       1063 |       7651 |        284 |        368
    miss rate                        |     31.11% |     77.02% |     11.47% |     23.14%
    mpki                             |       0.02 |       0.23 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9364 |          0 |          0 |          0
  average dram access latency (ns)   |     163.99 |        inf |        inf |        inf
  average dram queueing delay        |     110.56 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         37 |       2552 |        215 |        307
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
