CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.48       0.79       0.86       0.81
depend                 0.12       0.00       0.00       0.00
depend-int             0.00       0.08       0.08       0.08
depend-fp              0.00       0.24       0.34       0.33
branch                 0.41       0.24       0.17       0.16
mem-l1d                0.11       0.07       0.05       0.05
sync-unscheduled        8.91       1.61       2.12       0.34
imbalance-end          0.00       0.00       0.19       0.19
other                  0.13       0.07       0.04       0.04

total                 10.16       3.10       3.85       2.01
