                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   26910146 |   88138559 |   70905349 |  136134302
  Cycles                             |  273308800 |  273308800 |  273308800 |  273308800
  IPC                                |       0.10 |       0.32 |       0.26 |       0.50
  Time (ns)                          |   68327200 |   68327200 |   68327200 |   68327200
  Idle time (ns)                     |   60389841 |   35835365 |   41209775 |   18729447
  Idle time (%)                      |      88.4% |      52.4% |      60.3% |      27.4%
Branch predictor stats               |            |            |            |           
  num correct                        |    4453287 |    7540750 |    4064170 |    7807612
  num incorrect                      |     282737 |     339139 |      97712 |     181906
  misprediction rate                 |      5.97% |      4.30% |      2.35% |      2.28%
  mpki                               |      10.51 |       3.85 |       1.38 |       1.34
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    4094542 |   11060608 |    8245568 |   15831370
    num misses                       |        116 |         79 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    9287668 |   27083310 |   20853743 |   40034949
    num misses                       |        261 |        260 |         76 |     387098
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.97%
    mpki                             |       0.01 |       0.00 |       0.00 |       2.84
  L2 TLB                             |            |            |            |           
    num accesses                     |        377 |        339 |        101 |     387123
    num misses                       |        254 |        223 |         98 |         99
    miss rate                        |     67.37% |     65.78% |     97.03% |      0.03%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    4094542 |   11060608 |    8245568 |   15831370
    num cache misses                 |       1731 |       1196 |        152 |        151
    miss rate                        |      0.04% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.06 |       0.01 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    9287668 |   27083310 |   20853743 |   40034949
    num cache misses                 |       5646 |      66066 |      64970 |     125373
    miss rate                        |      0.06% |      0.24% |      0.31% |      0.31%
    mpki                             |       0.21 |       0.75 |       0.92 |       0.92
  Cache L2                           |            |            |            |           
    num cache accesses               |       7564 |      67340 |      65152 |     125528
    num cache misses                 |       6213 |       9997 |       4932 |       1590
    miss rate                        |     82.14% |     14.85% |      7.57% |      1.27%
    mpki                             |       0.23 |       0.11 |       0.07 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |       6404 |      10076 |       4962 |       1594
    num cache misses                 |       5708 |       3004 |        258 |        392
    miss rate                        |     89.13% |     29.81% |      5.20% |     24.59%
    mpki                             |       0.21 |       0.03 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9362 |          0 |          0 |          0
  average dram access latency (ns)   |      83.42 |        inf |        inf |        inf
  average dram queueing delay        |      29.99 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2373 |        261 |        209 |        313
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
