CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.00
depend-int             0.00       0.00       0.06       0.00
depend-fp              0.00       0.00       0.10       0.00
depend-branch          0.00       0.00       0.01       0.00
issue-port015          0.00       0.00       0.01       0.00
branch                 0.00       0.00       0.04       0.00
ifetch                 0.00       0.00       0.02       0.00
mem-l1d                0.00       0.00       0.05       0.00
mem-l2                 0.00       0.00       0.01       0.00
mem-l3                 0.00       0.00       0.01       0.00
sync-futex             8.72       0.68       0.05       0.00
sync-unscheduled        4.02      12.84       0.00       0.00
imbalance-end          0.00       0.00       0.00      26.62
other                  0.28       0.22       0.01       0.63

total                 13.28      13.99       0.62      27.25
