                                     | Core 0     | Core 1     | Core 2      | Core 3    
  Instructions                       |   51220032 |   48600502 |  1096908441 |   24957158
  Cycles                             |  680014400 |  680014400 |   680014400 |  680014400
  IPC                                |       0.08 |       0.07 |        1.61 |       0.04
  Time (ns)                          |  170003600 |  170003600 |   170003600 |  170003600
  Idle time (ns)                     |  163217051 |  164268838 |    15412073 |  167168629
  Idle time (%)                      |      96.0% |      96.6% |        9.1% |      98.3%
Branch predictor stats               |            |            |             |           
  num correct                        |    3135118 |    2387568 |    96713338 |    1569794
  num incorrect                      |      76873 |      52548 |     1705224 |       7939
  misprediction rate                 |      2.39% |      2.15% |       1.73% |      0.50%
  mpki                               |       1.50 |       1.08 |        1.55 |       0.32
TLB Summary                          |            |            |             |           
  I-TLB                              |            |            |             |           
    num accesses                     |    5661686 |    5501946 |    91616178 |    2793131
    num misses                       |        391 |        253 |          78 |         83
    miss rate                        |      0.01% |      0.00% |       0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |        0.00 |       0.00
  D-TLB                              |            |            |             |           
    num accesses                     |   13930229 |   11634408 |   257042082 |    7700181
    num misses                       |      10561 |       3988 |     1087394 |       2528
    miss rate                        |      0.08% |      0.03% |       0.42% |      0.03%
    mpki                             |       0.21 |       0.08 |        0.99 |       0.10
  L2 TLB                             |            |            |             |           
    num accesses                     |      10952 |       4241 |     1087472 |       2611
    num misses                       |       2041 |       1612 |       47722 |        958
    miss rate                        |     18.64% |     38.01% |       4.39% |     36.69%
    mpki                             |       0.04 |       0.03 |        0.04 |       0.04
Cache Summary                        |            |            |             |           
  Cache L1-I                         |            |            |             |           
    num cache accesses               |    5661686 |    5501946 |    91616178 |    2793131
    num cache misses                 |      12136 |       5843 |     1821938 |       4875
    miss rate                        |      0.21% |      0.11% |       1.99% |      0.17%
    mpki                             |       0.24 |       0.12 |        1.66 |       0.20
  Cache L1-D                         |            |            |             |           
    num cache accesses               |   13930229 |   11634408 |   257042082 |    7700181
    num cache misses                 |     199332 |     177413 |     9010519 |     140014
    miss rate                        |      1.43% |      1.52% |       3.51% |      1.82%
    mpki                             |       3.89 |       3.65 |        8.21 |       5.61
  Cache L2                           |            |            |             |           
    num cache accesses               |     218947 |     190348 |    10832515 |     144903
    num cache misses                 |     188755 |     176444 |      888038 |     124195
    miss rate                        |     86.21% |     92.70% |       8.20% |     85.71%
    mpki                             |       3.69 |       3.63 |        0.81 |       4.98
  Cache L3                           |            |            |             |           
    num cache accesses               |     196615 |     183962 |      888099 |     124209
    num cache misses                 |      25668 |      32623 |       29854 |      44429
    miss rate                        |     13.05% |     17.73% |       3.36% |     35.77%
    mpki                             |       0.50 |       0.67 |        0.03 |       1.78
DRAM summary                         |            |            |             |           
  num dram accesses                  |     134270 |          0 |           0 |          0
  average dram access latency (ns)   |   13870.61 |        inf |         inf |        inf
  average dram queueing delay        |   13817.18 |       0.00 |        0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |       0.00% |      0.00%
Coherency Traffic                    |            |            |             |           
  num loads from dram                |      15863 |      12925 |        4981 |       6301
  num loads from dram cache          |          0 |          0 |           0 |          0
  num loads from remote cache        |          0 |          0 |           0 |          0
