                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   662466616 |   722358479 |   132903242 |    94793116
  Cycles                             |  6799327200 |  6799327200 |  6799327200 |  6799327200
  IPC                                |        0.10 |        0.11 |        0.02 |        0.01
  Time (ns)                          |  1699831800 |  1699831800 |  1699831800 |  1699831800
  Idle time (ns)                     |   924133345 |   909378903 |  1510529513 |  1580001110
  Idle time (%)                      |       54.4% |       53.5% |       88.9% |       93.0%
Branch predictor stats               |             |             |             |            
  num correct                        |   100495336 |   103521189 |    12354502 |     5298677
  num incorrect                      |     9723037 |     9833319 |      573965 |      400009
  misprediction rate                 |       8.82% |       8.67% |       4.44% |       7.02%
  mpki                               |       14.68 |       13.61 |        4.32 |        4.22
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   117753559 |   123249829 |    14771386 |     9506234
    num misses                       |         187 |         156 |          81 |          44
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   240427652 |   260698308 |    47454463 |    31323992
    num misses                       |     7298614 |     7036235 |     2520719 |     1979119
    miss rate                        |       3.04% |       2.70% |       5.31% |       6.32%
    mpki                             |       11.02 |        9.74 |       18.97 |       20.88
  L2 TLB                             |             |             |             |            
    num accesses                     |     7298801 |     7036391 |     2520800 |     1979163
    num misses                       |     3403807 |     3044807 |     1523359 |     1063376
    miss rate                        |      46.64% |      43.27% |      60.43% |      53.73%
    mpki                             |        5.14 |        4.22 |       11.46 |       11.22
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   117753559 |   123249829 |    14771386 |     9506234
    num cache misses                 |      683771 |      702790 |       36941 |       29832
    miss rate                        |       0.58% |       0.57% |       0.25% |       0.31%
    mpki                             |        1.03 |        0.97 |        0.28 |        0.31
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   240427652 |   260698308 |    47454463 |    31323992
    num cache misses                 |     8437492 |     7694876 |     3334856 |     1947164
    miss rate                        |       3.51% |       2.95% |       7.03% |       6.22%
    mpki                             |       12.74 |       10.65 |       25.09 |       20.54
  Cache L2                           |             |             |             |            
    num cache accesses               |     9563236 |     8830223 |     3784945 |     1977582
    num cache misses                 |     6998826 |     6242998 |     3167177 |     1789121
    miss rate                        |      73.18% |      70.70% |      83.68% |      90.47%
    mpki                             |       10.56 |        8.64 |       23.83 |       18.87
  Cache L3                           |             |             |             |            
    num cache accesses               |     7441508 |     6676362 |     3580325 |     1789707
    num cache misses                 |     2172261 |     1865592 |     1432822 |      522866
    miss rate                        |      29.19% |      27.94% |      40.02% |      29.22%
    mpki                             |        3.28 |        2.58 |       10.78 |        5.52
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9361829 |           0 |           0 |           0
  average dram access latency (ns)   |     4877.11 |         inf |         inf |         inf
  average dram queueing delay        |     4823.68 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       4.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     1827479 |     1377739 |     1336933 |      464602
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
