CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.05       0.06       0.05       0.00
depend-branch          0.00       0.00       0.01       0.00
issue-port2            0.02       0.02       0.03       0.00
issue-port015          0.02       0.02       0.02       0.00
branch                 0.11       0.11       0.09       0.00
ifetch                 0.08       0.08       0.08       0.09
mem-l1d                0.07       0.07       0.06       0.00
mem-l3                 0.02       0.02       0.02       0.00
mem-dram               0.02       0.00       0.02       0.10
sync-futex             0.07       0.04       0.17       7.95
sync-unscheduled        0.87       0.85       0.04       0.13
imbalance-end          0.00       0.00       0.11       0.00
other                  0.03       0.05       0.02       0.16

total                  1.61       1.56       0.97       8.67
