                                     | Core 0     | Core 1     | Core 2      | Core 3    
  Instructions                       |   45020259 |   54800091 |  1096908366 |   24957158
  Cycles                             |  682980400 |  682980400 |   682980400 |  682980400
  IPC                                |       0.07 |       0.08 |        1.61 |       0.04
  Time (ns)                          |  170745100 |  170745100 |   170745100 |  170745100
  Idle time (ns)                     |  164808852 |  164136075 |    15436281 |  167911115
  Idle time (%)                      |      96.5% |      96.1% |        9.0% |      98.3%
Branch predictor stats               |            |            |             |           
  num correct                        |    2487741 |    3033996 |    96692583 |    1569855
  num incorrect                      |      70305 |      60059 |     1725970 |       7878
  misprediction rate                 |      2.75% |      1.94% |       1.75% |      0.50%
  mpki                               |       1.56 |       1.10 |        1.57 |       0.32
TLB Summary                          |            |            |             |           
  I-TLB                              |            |            |             |           
    num accesses                     |    4877603 |    6286000 |    91616172 |    2793131
    num misses                       |        435 |        415 |          86 |         92
    miss rate                        |      0.01% |      0.01% |       0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |        0.00 |       0.00
  D-TLB                              |            |            |             |           
    num accesses                     |   11298422 |   14266167 |   257042052 |    7700181
    num misses                       |       7801 |       3974 |     1103389 |       2358
    miss rate                        |      0.07% |      0.03% |       0.43% |      0.03%
    mpki                             |       0.17 |       0.07 |        1.01 |       0.09
  L2 TLB                             |            |            |             |           
    num accesses                     |       8236 |       4389 |     1103475 |       2450
    num misses                       |       2191 |       1213 |       77437 |        947
    miss rate                        |     26.60% |     27.64% |       7.02% |     38.65%
    mpki                             |       0.05 |       0.02 |        0.07 |       0.04
Cache Summary                        |            |            |             |           
  Cache L1-I                         |            |            |             |           
    num cache accesses               |    4877603 |    6286000 |    91616172 |    2793131
    num cache misses                 |      10178 |       9267 |     1933412 |       5041
    miss rate                        |      0.21% |      0.15% |       2.11% |      0.18%
    mpki                             |       0.23 |       0.17 |        1.76 |       0.20
  Cache L1-D                         |            |            |             |           
    num cache accesses               |   11298422 |   14266167 |   257042052 |    7700181
    num cache misses                 |     195152 |     181378 |     9021325 |     140016
    miss rate                        |      1.73% |      1.27% |       3.51% |      1.82%
    mpki                             |       4.33 |       3.31 |        8.22 |       5.61
  Cache L2                           |            |            |             |           
    num cache accesses               |     213852 |     196562 |    10954817 |     145068
    num cache misses                 |     187465 |     178018 |      853840 |     124351
    miss rate                        |     87.66% |     90.57% |       7.79% |     85.72%
    mpki                             |       4.16 |       3.25 |        0.78 |       4.98
  Cache L3                           |            |            |             |           
    num cache accesses               |     196002 |     184442 |      853920 |     124362
    num cache misses                 |      41297 |      16971 |       29849 |      44429
    miss rate                        |     21.07% |      9.20% |       3.50% |     35.73%
    mpki                             |       0.92 |       0.31 |        0.03 |       1.78
DRAM summary                         |            |            |             |           
  num dram accesses                  |     134686 |          0 |           0 |          0
  average dram access latency (ns)   |   14484.49 |        inf |         inf |        inf
  average dram queueing delay        |   14431.07 |       0.00 |        0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |       0.00% |      0.00%
Coherency Traffic                    |            |            |             |           
  num loads from dram                |      20881 |       7366 |        4964 |       6334
  num loads from dram cache          |          0 |          0 |           0 |          0
  num loads from remote cache        |          0 |          0 |           0 |          0
