                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    8968071 |   66732957 |  573063917 |  572920907
  Cycles                             |  682428000 |  682428000 |  682428000 |  682428000
  IPC                                |       0.01 |       0.10 |       0.84 |       0.84
  Time (ns)                          |  170607000 |  170607000 |  170607000 |  170607000
  Idle time (ns)                     |  169688338 |  161113511 |   93770338 |   87310702
  Idle time (%)                      |      99.5% |      94.4% |      55.0% |      51.2%
Branch predictor stats               |            |            |            |           
  num correct                        |     564462 |    4128242 |   48989514 |   50123997
  num incorrect                      |       2744 |     126075 |     718405 |     994917
  misprediction rate                 |      0.48% |      2.96% |      1.45% |      1.95%
  mpki                               |       0.31 |       1.89 |       1.25 |       1.74
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1002440 |    7429409 |   48433202 |   48707923
    num misses                       |         50 |        518 |         86 |        128
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    2775005 |   18311440 |  133016182 |  136204159
    num misses                       |        875 |      16383 |     553213 |     551803
    miss rate                        |      0.03% |      0.09% |      0.42% |      0.41%
    mpki                             |       0.10 |       0.25 |       0.97 |       0.96
  L2 TLB                             |            |            |            |           
    num accesses                     |        925 |      16901 |     553299 |     551931
    num misses                       |        426 |       2671 |       8219 |       9547
    miss rate                        |     46.05% |     15.80% |      1.49% |      1.73%
    mpki                             |       0.05 |       0.04 |       0.01 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1002440 |    7429409 |   48433202 |   48707923
    num cache misses                 |       1660 |      17696 |     970247 |     969024
    miss rate                        |      0.17% |      0.24% |      2.00% |      1.99%
    mpki                             |       0.19 |       0.27 |       1.69 |       1.69
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2775005 |   18311440 |  133016182 |  136204159
    num cache misses                 |      51842 |     270831 |    4603252 |    4599001
    miss rate                        |      1.87% |      1.48% |      3.46% |      3.38%
    mpki                             |       5.78 |       4.06 |       8.03 |       8.03
  Cache L2                           |            |            |            |           
    num cache accesses               |      53512 |     299369 |    5577349 |    5568375
    num cache misses                 |      46373 |     262112 |     472739 |     509476
    miss rate                        |     86.66% |     87.55% |      8.48% |      9.15%
    mpki                             |       5.17 |       3.93 |       0.82 |       0.89
  Cache L3                           |            |            |            |           
    num cache accesses               |      46383 |     273665 |     478320 |     510005
    num cache misses                 |       9673 |      54215 |      21838 |      46914
    miss rate                        |     20.85% |     19.81% |      4.57% |      9.20%
    mpki                             |       1.08 |       0.81 |       0.04 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |     135846 |          0 |          0 |          0
  average dram access latency (ns)   |   14311.36 |        inf |        inf |        inf
  average dram queueing delay        |   14257.93 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1790 |      24344 |       7255 |       6247
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
