CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.00       0.25       0.25
depend-int             0.00       0.00       0.05       0.05
depend-fp              0.00       0.00       0.15       0.15
depend-branch          0.00       0.00       0.01       0.01
issue-port2            0.00       0.00       0.02       0.02
issue-port015          0.00       0.00       0.01       0.01
branch                 0.00       0.00       0.07       0.07
mem-l1d                0.00       0.00       0.06       0.06
sync-futex           121.23       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.01       0.01
imbalance-end          0.00   289953577.00       0.00       0.00
other                  1.39       0.00       0.01       0.01

total                122.63   289953577.00       0.64       0.64
