                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   36537058 |  355122043 |  276858215 |          0
  Cycles                             |  276100400 |  276100400 |  276100400 |  276100400
  IPC                                |       0.13 |       1.29 |       1.00 |       0.00
  Time (ns)                          |   69025100 |   69025100 |   69025100 |   69025100
  Idle time (ns)                     |   63261515 |   10303264 |   24371725 |   69025100
  Idle time (%)                      |      91.7% |      14.9% |      35.3% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1516466 |   10852922 |    8078231 |          0
  num incorrect                      |      64725 |    2147141 |    1303862 |          0
  misprediction rate                 |      4.09% |     16.52% |     13.90% |      0.00%
  mpki                               |       1.77 |       6.05 |       4.71 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3580393 |   37509543 |   28550132 |          0
    num misses                       |        302 |       8002 |      10235 |          0
    miss rate                        |      0.01% |      0.02% |      0.04% |      0.00%
    mpki                             |       0.01 |       0.02 |       0.04 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   13211316 |  123248072 |   96704327 |          0
    num misses                       |       9375 |     431264 |     482839 |          0
    miss rate                        |      0.07% |      0.35% |      0.50% |      0.00%
    mpki                             |       0.26 |       1.21 |       1.74 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       9677 |     439266 |     493074 |          0
    num misses                       |       3599 |      88228 |      74305 |          0
    miss rate                        |     37.19% |     20.09% |     15.07% |      0.00%
    mpki                             |       0.10 |       0.25 |       0.27 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3580393 |   37509543 |   28550132 |          0
    num cache misses                 |     124270 |    2677822 |    2560199 |          0
    miss rate                        |      3.47% |      7.14% |      8.97% |       inf%
    mpki                             |       3.40 |       7.54 |       9.25 |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   13211316 |  123248072 |   96704327 |          0
    num cache misses                 |     265087 |    2822825 |    3077270 |          0
    miss rate                        |      2.01% |      2.29% |      3.18% |       inf%
    mpki                             |       7.26 |       7.95 |      11.11 |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |     389704 |    5504826 |    5639592 |          0
    num cache misses                 |     245272 |    1153704 |    1096773 |          0
    miss rate                        |     62.94% |     20.96% |     19.45% |       inf%
    mpki                             |       6.71 |       3.25 |       3.96 |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |     245777 |    1167865 |    1110950 |          0
    num cache misses                 |     138389 |     164689 |     109357 |          0
    miss rate                        |     56.31% |     14.10% |      9.84% |       inf%
    mpki                             |       3.79 |       0.46 |       0.39 |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |     627422 |          0 |          0 |          0
  average dram access latency (ns)   |    2644.23 |        inf |        inf |        inf
  average dram queueing delay        |    2590.80 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      61269 |      96082 |      40804 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
