CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.25
depend-int             0.03       0.06       0.00       0.06
depend-fp              0.00       0.24       0.00       0.24
depend-branch          0.03       0.01       0.00       0.01
branch                 0.22       0.09       0.00       0.08
mem-l1d                0.06       0.04       0.00       0.04
sync-futex             1.89       0.00       0.00       0.00
imbalance-start        0.00       0.18       0.00       0.18
imbalance-end          0.00       0.05   125605845.00       0.05
other                  0.04       0.01       0.00       0.01

total                  2.52       0.92   125605845.00       0.92
