CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.53       0.67       0.52       0.70
depend                 0.12       0.00       0.12       0.00
depend-int             0.00       0.08       0.00       0.08
depend-fp              0.00       0.32       0.00       0.32
branch                 0.46       0.15       0.43       0.17
mem-l1d                0.11       0.05       0.11       0.05
sync-futex             7.22       0.00       7.47       0.00
sync-unscheduled        0.00       0.19       1.60       0.47
dvfs-transition        0.00       0.03       0.00       0.03
imbalance-end          1.81       0.38       0.00       0.05
other                  0.09       0.03       0.09       0.03

total                 10.33       1.89      10.33       1.89
