CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.53       0.69       0.00       0.70
depend-int             0.00       0.08       0.00       0.07
depend-fp              0.00       0.32       0.00       0.21
depend-branch          0.00       0.00       0.00       0.02
issue-port2            0.00       0.00       0.00       0.02
issue-port015          0.00       0.00       0.00       0.01
branch                 0.45       0.16       0.00       0.15
mem-l1d                0.00       0.05       0.00       0.09
sync-futex             7.39       0.00     507.12       0.00
sync-unscheduled        0.00       0.19      33.84       0.09
dvfs-transition        0.00       0.00       0.00       0.02
imbalance-end         17.09       3.18       0.00       0.00
other                  0.32       0.05       2.66       0.01

total                 25.78       4.72     543.62       1.41
