                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |    49848610 |   272235169 |     2363734 |   912650191
  Cycles                             |  1284984000 |  1284984000 |  1284984000 |  1284984000
  IPC                                |        0.04 |        0.21 |        0.00 |        0.71
  Time (ns)                          |   321246000 |   321246000 |   321246000 |   321246000
  Idle time (ns)                     |   305440758 |   230773945 |   319702632 |    27228234
  Idle time (%)                      |       95.1% |       71.8% |       99.5% |        8.5%
Branch predictor stats               |             |             |             |            
  num correct                        |     8266677 |    15572020 |      326976 |    86944660
  num incorrect                      |      522449 |      405358 |       15743 |     2717499
  misprediction rate                 |       5.94% |       2.54% |       4.59% |       3.03%
  mpki                               |       10.48 |        1.49 |        6.66 |        2.98
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |     7573441 |    31657721 |      201117 |   122141013
    num misses                       |         120 |          25 |         181 |          41
    miss rate                        |       0.00% |       0.00% |       0.09% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.08 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    17194373 |    80061905 |      798058 |   321982520
    num misses                       |         388 |         102 |        1940 |       12035
    miss rate                        |       0.00% |       0.00% |       0.24% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.82 |        0.01
  L2 TLB                             |             |             |             |            
    num accesses                     |         508 |         127 |        2121 |       12076
    num misses                       |         297 |         109 |         468 |         197
    miss rate                        |      58.46% |      85.83% |      22.07% |       1.63%
    mpki                             |        0.01 |        0.00 |        0.20 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |     7573441 |    31657721 |      201117 |   122141013
    num cache misses                 |        2434 |         154 |        2450 |      195092
    miss rate                        |       0.03% |       0.00% |       1.22% |       0.16%
    mpki                             |        0.05 |        0.00 |        1.04 |        0.21
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    17194373 |    80061905 |      798058 |   321982520
    num cache misses                 |       10980 |      250077 |       17148 |     3542285
    miss rate                        |       0.06% |       0.31% |       2.15% |       1.10%
    mpki                             |        0.22 |        0.92 |        7.25 |        3.88
  Cache L2                           |             |             |             |            
    num cache accesses               |       13508 |      250231 |       20041 |     3738291
    num cache misses                 |       10208 |        2397 |       13281 |        7172
    miss rate                        |      75.57% |       0.96% |      66.27% |       0.19%
    mpki                             |        0.20 |        0.01 |        5.62 |        0.01
  Cache L3                           |             |             |             |            
    num cache accesses               |       10306 |        2397 |       13730 |        8126
    num cache misses                 |        8707 |         624 |       11657 |        6276
    miss rate                        |      84.48% |      26.03% |      84.90% |      77.23%
    mpki                             |        0.17 |        0.00 |        4.93 |        0.01
DRAM summary                         |             |             |             |            
  num dram accesses                  |       27262 |           0 |           0 |           0
  average dram access latency (ns)   |      114.81 |         inf |         inf |         inf
  average dram queueing delay        |       61.38 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |        2521 |         509 |        8107 |        1399
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
