CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.58       0.82       0.60       0.83
depend                 0.13       0.00       0.13       0.00
depend-int             0.00       0.08       0.00       0.08
depend-fp              0.00       0.33       0.00       0.33
branch                 0.49       0.19       0.50       0.19
mem-l1d                0.11       0.05       0.11       0.05
sync-futex             8.26       0.00       8.37       0.00
sync-unscheduled        0.00       0.20       1.60       0.50
imbalance-end          1.74       0.37       0.00       0.05
other                  0.08       0.04       0.08       0.04

total                 11.39       2.09      11.39       2.09
