CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.58       0.84       0.00       0.79
depend-int             0.00       0.08       0.00       0.07
depend-fp              0.00       0.33       0.00       0.22
depend-branch          0.00       0.00       0.00       0.02
issue-port2            0.00       0.00       0.00       0.02
branch                 0.47       0.17       0.00       0.16
mem                    0.00       0.05       0.00       0.00
mem-l1d                0.00       0.00       0.00       0.09
sync-futex             8.33       0.00     549.90       0.00
sync-unscheduled        0.00       0.19      33.84       0.09
dvfs-transition        0.00       0.00       0.00       0.02
imbalance-end         18.11       3.37       0.00       0.00
other                  0.31       0.04       2.59       0.03

total                 27.80       5.09     586.33       1.52
