CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.83       1.49       1.57
depend-int             0.00       0.00       0.09       0.00
depend-fp              0.00       0.33       0.00       0.00
depend-branch          0.00       0.00       0.10       0.00
issue                  0.00       0.00       0.07       0.00
branch                 0.00       0.00       1.51       0.41
mem-l1d                0.00       0.00       0.13       0.00
mem-l2                 0.00       0.00       0.06       0.00
mem-l3                 0.00       0.00       0.43       1.68
mem-dram               0.00       0.00       0.56       0.85
sync-futex             8.53       0.00       1.04       0.00
sync-unscheduled        0.00       0.00       0.06      18.89
imbalance-end        138.90      25.49       0.00       2.70
other                  1.38       0.59       0.04       0.47

total                148.81      27.25       5.56      26.57
