                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |    49848671 |   272235168 |  1332989974 |   279198932
  Cycles                             |  7417767600 |  7417767600 |  7417767600 |  7417767600
  IPC                                |        0.01 |        0.04 |        0.18 |        0.04
  Time (ns)                          |  1854441900 |  1854441900 |  1854441900 |  1854441900
  Idle time (ns)                     |  1837494537 |  1749317153 |   367731125 |  1506800528
  Idle time (%)                      |       99.1% |       94.3% |       19.8% |       81.3%
Branch predictor stats               |             |             |             |            
  num correct                        |     8262371 |    15563202 |   205987829 |    15638640
  num incorrect                      |      526762 |      414176 |    19395132 |     1163270
  misprediction rate                 |       5.99% |       2.59% |       8.61% |       6.92%
  mpki                               |       10.57 |        1.52 |       14.55 |        4.17
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |     7573455 |    31657721 |   237237634 |    28021392
    num misses                       |         127 |          25 |         240 |          51
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    17194398 |    80061905 |   487536578 |    92259342
    num misses                       |         390 |         105 |    12138603 |     6026373
    miss rate                        |       0.00% |       0.00% |       2.49% |       6.53%
    mpki                             |        0.01 |        0.00 |        9.11 |       21.58
  L2 TLB                             |             |             |             |            
    num accesses                     |         517 |         130 |    12138843 |     6026424
    num misses                       |         293 |         109 |     5839456 |     3142373
    miss rate                        |      56.67% |      83.85% |      48.11% |      52.14%
    mpki                             |        0.01 |        0.00 |        4.38 |       11.25
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |     7573455 |    31657721 |   237237634 |    28021392
    num cache misses                 |        2580 |         362 |     1362170 |       87395
    miss rate                        |       0.03% |       0.00% |       0.57% |       0.31%
    mpki                             |        0.05 |        0.00 |        1.02 |        0.31
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    17194398 |    80061905 |   487536578 |    92259342
    num cache misses                 |       11121 |      250697 |    15609095 |     5729612
    miss rate                        |       0.06% |       0.31% |       3.20% |       6.21%
    mpki                             |        0.22 |        0.92 |       11.71 |       20.52
  Cache L2                           |             |             |             |            
    num cache accesses               |       13821 |      251070 |    18249369 |     5817107
    num cache misses                 |       10585 |        8670 |    12889358 |     5260285
    miss rate                        |      76.59% |       3.45% |      70.63% |      90.43%
    mpki                             |        0.21 |        0.03 |        9.67 |       18.84
  Cache L3                           |             |             |             |            
    num cache accesses               |       10709 |        8681 |    14168688 |     5260385
    num cache misses                 |        9207 |        6938 |     4472809 |     1518281
    miss rate                        |      85.97% |      79.92% |      31.57% |      28.86%
    mpki                             |        0.18 |        0.03 |        3.36 |        5.44
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9380142 |           0 |           0 |           0
  average dram access latency (ns)   |     3154.28 |         inf |         inf |         inf
  average dram queueing delay        |     3100.85 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       4.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |        2673 |        5823 |     3649871 |     1354934
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
