CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.61       0.78       0.61       0.78
depend                 0.13       0.00       0.13       0.00
depend-int             0.00       0.08       0.00       0.08
depend-fp              0.00       0.33       0.00       0.33
branch                 0.51       0.16       0.51       0.18
mem-l1d                0.12       0.05       0.11       0.05
sync-futex             7.81       0.00       7.93       0.00
sync-unscheduled        0.00       0.20       1.60       0.49
imbalance-end          1.72       0.37       0.00       0.06
other                  0.07       0.03       0.07       0.03

total                 10.96       2.01      10.96       2.01
