CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.61       0.78       0.00       0.78
depend-int             0.00       0.08       0.00       0.07
depend-fp              0.00       0.33       0.00       0.22
depend-branch          0.00       0.00       0.00       0.02
issue-port2            0.00       0.00       0.00       0.02
branch                 0.51       0.18       0.00       0.16
mem-l1d                0.00       0.05       0.00       0.09
sync-futex             7.95       0.00     535.15       0.00
sync-unscheduled        0.00       0.20      33.84       0.09
imbalance-end         17.73       3.30       0.00       0.00
other                  0.31       0.03       2.79       0.03

total                 27.11       4.96     571.78       1.48
