CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.75       0.42       0.37
depend                 0.00       0.00       0.00       0.20
depend-int             0.00       0.00       0.07       0.00
depend-fp              0.00       0.33       0.00       0.00
depend-branch          0.00       0.00       0.07       0.00
issue-port2            0.00       0.00       0.03       0.00
branch                 0.00       0.17       0.71       0.20
mem-l1d                0.00       0.00       0.09       0.00
mem-l3                 0.00       0.00       0.24       1.03
mem-dram               0.00       0.00       0.45       0.64
sync-futex             7.85       0.00       0.55       0.00
sync-unscheduled        0.00       0.20       0.06       9.01
imbalance-end         64.79      11.92       0.00       1.58
other                  1.41       0.19       0.07       0.19

total                 74.05      13.56       2.77      13.22
